,ISIN,NAME
0,AN8068571086,Schlumberger
1,AT000000STR1,STRABAG
2,AT00000AMAG3,AMAG Austria Metall
3,AT00000FACC2,FACC
4,AT00000VIE62,Flughafen Wien
5,AT0000606306,Raiffeisen Bank International
6,AT0000609607,PORR
7,AT0000616701,ATHOS Immobilien
8,AT0000625108,Oberbank
9,AT0000641352,CA Immobilien Anlagen
10,AT0000644505,Lenzing
11,AT0000652011,Erste Bank
12,AT0000652250,Sparkassen Immobilien
13,AT0000720008,Telekom Austria
14,AT0000730007,Andritz
15,AT0000741053,EVN
16,AT0000743059,OMV
17,AT0000746409,VERBUND
18,AT0000758305,Palfinger
19,AT0000785407,Fabasoft
20,AT0000785555,Semperit Holding
21,AT0000815402,UBM Development
22,AT0000818802,Do & Co
23,AT0000821103,UNIQA Insurance Group
24,AT0000827209,Warimpex Finanz
25,AT0000831706,Wienerberger
26,AT0000834007,Wolford
27,AT0000837307,Zumtobel
28,AT0000908504,Vienna Insurance
29,AT0000922554,Rosenbauer
30,AT0000937503,Voestalpine
31,AT0000938204,Mayr Melnhof Karton
32,AT0000946652,Schoeller Bleckmann
33,AT0000969985,AT&S HANDELSUNIVERSUM
34,AT0000A00XX9,Polytec Holding
35,AT0000A00Y78,Petro Welt Technologies
36,AT0000A0E9W5,Kontron
37,AT0000A18XM4,AMS
38,AT0000A21KS2,Immofinanz
39,AT0000A25NJ6,Wolftank-Adisa
40,AT0000APOST4,Oesterreichische Post
41,AT0000BAWAG2,BAWAG Group
42,AT0000KTMI02,Pierer Mobility
43,AT000ADDIKO0,Addiko Bank
44,AT000AGRANA3,Agrana
45,AT000KAPSCH9,Kapsch Trafficcom
46,ATFREQUENT09,Frequentis
47,ATMARINOMED6,Marinomed Biotech
48,AU0000003816,ClearVue Technologies
49,AU0000004772,Adriatic Metals (ADR)
50,AU0000005001,Copper Mountain Mining (CDI)
51,AU0000005159,Jupiter Mines
52,AU0000007627,Infinity Lithium
53,AU00000088E2,88 Energy
54,AU0000009789,Pendal Group
55,AU000000AAC9,Australian Agricultural
56,AU000000ABC7,Adbri
57,AU000000ABP9,Abacus Property Group
58,AU000000AC89,AusCann Group Holdings
59,AU000000ACB7,A-Cap Energy
60,AU000000ADX9,ADX Energy
61,AU000000ADY7,Admiralty Resources
62,AU000000AEE7,Aura Energy
63,AU000000AGL7,AGL Energy
64,AU000000AGR4,Aguia Resources
65,AU000000AJX6,Alexium International
66,AU000000AKP0,Audio Pixels Holdings
67,AU000000ALK9,Alkana Resources
68,AU000000ALL7,Aristocrat Leisure
69,AU000000ALQ6,ALS
70,AU000000ALU8,Altium
71,AU000000ALY0,Alchemy Resources
72,AU000000AMA8,AMA Group HANDELSUNIVERSUM
73,AU000000AMC4,Amcor
74,AU000000AMI1,Aurelia Metals
75,AU000000AML5,Aeon Metals
76,AU000000AMP6,AMP
77,AU000000ANN9,Ansell
78,AU000000ANO7,Advance NanoTek
79,AU000000ANP4,ANTISENSE THERAPEUTICS
80,AU000000AON7,Apollo Minerals
81,AU000000AOU2,Auroch Minerals
82,AU000000APA1,APA Group
83,AU000000APX3,Appen
84,AU000000APZ8,Aspen Group
85,AU000000ARL4,Ardea Resources
86,AU000000ARU5,Arafura Resources
87,AU000000ARV3,Artemis Resources
88,AU000000ASB3,Austal
89,AU000000ASN8,Anson Resources
90,AU000000ASP3,Aspermont
91,AU000000ASX7,ASX
92,AU000000ATC9,Altech Chemicals
93,AU000000AUC7,AUSGOLD LTD
94,AU000000AUZ8,Australian Mines
95,AU000000AVG6,Australian Vintage
96,AU000000AVH4,AVITA Medical
97,AU000000AVL6,Australian Vanadium
98,AU000000AVZ6,AVZ Minerals
99,AU000000AWC3,Alumina
100,AU000000AXE7,Archer Materials
101,AU000000AZI3,Altamin
102,AU000000AZJ1,Aurizon Holdings
103,AU000000BAT1,Battery Minerals
104,AU000000BCI0,BCI Minerals
105,AU000000BEN6,Bendigo Bank
106,AU000000BGA8,Bega Cheese
107,AU000000BHP4,BHP Billiton
108,AU000000BKL7,Blackmores
109,AU000000BKY0,Berkeley Energía
110,AU000000BLD2,Boral
